Year,Sex,count
1972,M,9316
2004,F,5545
1906,M,1721
1908,M,3039
,"-Gower)\"",1
2006,F,1757
,"-Jrund)\"",1
,-Campbell,1
1992,F,5167
1992,M,11211
,"-Corbin)\"",1
,"-Connolly)\"",3
1920,M,4149
2008,M,7783
1976,F,2596
1928,M,5121
1976,M,7879
1956,F,1134
1920,F,133
,"-Russell)\"",3
1968,M,8251
1994,M,2052
2000,F,5430
1924,F,260
,"-Knig)\"",1
2004,M,7895
,"-Davidson)\"",1
1904,F,16
,"-Greer)\"",4
,"-Luby)\"",2
2012,F,5815
1960,F,1714
,"-Kulik)\"",2
2002,M,2524
2006,M,2624
1896,M,380
1956,M,5262
2000,M,8386
1952,M,7638
,"-Goodridge)\"",2
,"IV\"",22
1964,M,7692
1952,F,1665
,"-Berlin)\"",1
,"-Garciaparra)\"",3
1980,F,2185
2010,M,2551
,"-Merrill)\"",2
1972,F,2589
2014,M,2865
2014,F,2023
1998,F,1384
1968,F,2182
1908,F,47
,"-Clarke)\"",1
,"-Doane)\"",2
,"-Henseler)\"",1
,"-Lutz)\"",1
1948,F,756
,"Carvajal y Are\"",2
1984,M,8577
2002,F,1581
,"-Chellstorp)\"",2
,"II\"",17
2016,M,7462
1900,M,1901
,"-Newman)\"",1
1904,M,1278
,"-Machts)\"",1
1988,M,10425
,"-de Glas)\"",3
1964,F,1740
,-Jager,4
,"-Roethenmund)\"",2
,"-Karlsson)\"",1
,"-Brown)\"",2
1936,M,6830
1998,M,2218
,"-Zaharias)\"",3
1912,M,3944
2008,F,5816
,"-Brehme-)\"",1
2010,F,1847
,"Jr.\"",355
,"III\"",79
1932,M,2936
1960,M,7470
,"-Plumley)\"",2
,"-Woepse)\"",1
1932,F,358
1984,F,2978
,-Mill,1
,"-O'Connor)\"",1
2012,M,7099
1948,M,6677
,"-Zuschneid)\"",7
,"Sr.\"",31
,"-Wolf)\"",3
,"-Bakhuizen)\"",2
1900,F,32
1906,F,11
,"-Grote)\"",4
1912,F,87
,"-d'Oriola)\"",3
,"-Drum)\"",1
,"-Sims)\"",7
1988,F,4214
1928,F,432
1994,F,1103
1936,F,539
1924,M,5421
1996,M,8760
,"-Topmiller)\"",1
,"Plank-)\"",1
2016,F,6221
1996,F,4998
1980,M,6746
,"-Steindler)\"",1
,"-Pike)\"",6
,"-Livingstone)\"",6
,"-Frank)\"",2
2032,M,2
,"-Brandt)\"",1
,"-Moore)\"",1
,"-McCoy)\"",12
,"-Nuttall)\"",3
,Wright-,1
,"-Wyatt)\"",3
,"-Allinger)\"",4
,"-Smith)\"",8
,"-Hodge)\"",1
,"-Byram)\"",1
,"-Pilz)\"",1
2032,F,2
3333,M,1
,"-Meyer)\"",2
,"-Braun)\"",2
,"-Neale)\"",6
,"-Lazenby)\"",2
,"-Gertler)\"",2
,"-Hunter)\"",6
,"-Christopher)\"",2
,"-Brennan)\"",1
,"-Couturier)\"",1
,"-de Wit)\"",4
,"-Williams)\"",1
